,Rank,country,country_code,1980,1990,2000,2010,2020,area,growth_rate,population_density
29,30,Spain,ESP,37491666,40741651,46572772,47486935,47558630,505992,0.0015,95.2017
30,31,Uganda,UGA,13284026,24020697,32341728,45853778,47249585,241550,0.0304,235.6353
31,32,Sudan,SDN,16673586,26298773,33739933,45657202,46874204,1886068,0.0267,25.0933
32,33,Argentina,ARG,28024803,37070774,41100123,45276780,45510318,2780400,0.0052,16.6297
33,34,Algeria,DZA,18739378,30774621,35856344,44177969,44903225,2381741,0.0164,18.8531
34,35,Iraq,IRQ,13653369,24628858,31264875,43533592,44496122,438317,0.0221,102.4954
35,36,Afghanistan,AFG,12486631,19542982,28189672,40099462,41128771,652230,0.0257,63.0587
36,37,Poland,POL,35521429,38504431,38597353,38307726,39857145,312679,0.0404,130.1968
37,38,Ukraine,UKR,49973920,48879755,45683020,43531422,39701739,603500,-0.088,68.5222
38,39,Canada,CAN,24511510,30683313,33963412,38155012,38454327,9984670,0.0078,4.2891
39,40,Morocco,MAR,19678444,28554415,32464865,37076584,37457971,446550,0.0103,83.93
40,41,Saudi Arabia,SAU,10171710,21547390,29411929,35950396,36408820,2149690,0.0128,16.9368
41,42,Angola,AGO,8330047,16394062,23364185,34503774,35588987,1246700,0.0315,28.5466
42,43,Uzbekistan,UZB,15947129,24925554,28614227,34081449,34627652,447400,0.016,78.5831
43,44,Peru,PER,17492406,26654439,29229572,33715471,34049588,1285216,0.0099,26.6012
44,45,Malaysia,MYS,13215707,22945150,28717731,33573874,33938221,330803,0.0109,103.297
45,46,Yemen,YEM,9204938,18628700,24743946,32981641,33696614,527968,0.0217,63.823
46,47,Ghana,GHA,11865246,19665502,25574719,32833031,33475870,238533,0.0196,147.1253
47,48,Mozambique,MOZ,11413587,17768505,23073723,32077072,32969517,801590,0.0278,41.9257
48,49,Nepal,NPL,15600442,24559500,27161567,30034989,30547580,147181,0.0171,213.0979
49,50,Madagascar,MDG,8948162,16216431,21731053,28915653,29611714,587041,0.0241,50.8967
50,51,Venezuela,VEN,15210443,24427729,28715022,28199867,28301696,916445,0.0036,32.0863
51,52,Ivory Coast,CIV,8303810,16799670,21120042,27478249,28160542,322463,0.0248,88.5552
52,53,Cameroon,CMR,8519891,15091594,19878036,27198628,27914536,475442,0.0263,59.0521
53,54,Niger,NER,6173177,11622665,16647543,25252722,26207977,1267000,0.0378,20.69
54,55,Australia,AUS,14706322,19017963,22019168,25921089,26177413,7692024,0.0099,3.4032
55,56,North Korea,PRK,17973650,23367059,24686435,25971909,26069416,120538,0.0038,216.5054
56,57,Taiwan,TWN,18100281,22194731,23083083,23859912,23893394,36193,0.0014,660.0932
57,58,Burkina Faso,BFA,6932967,11882888,16116845,22100683,22673762,272967,0.0259,82.8719
58,59,Mali,MLI,7372581,11239101,15529181,21904983,22593590,1240192,0.0314,18.5165
59,60,Syria,SYR,8898954,16307654,22337563,21324367,22125249,185180,0.0376,120.4882
60,61,Sri Lanka,LKA,14943645,18776371,20668557,21773441,21832143,65610,0.0027,352.9283
61,62,Malawi,MWI,6267369,11229387,14718422,19889742,20405317,118484,0.0259,216.4331
62,63,Zambia,ZMB,5720438,9891136,13792086,19473125,20017675,752612,0.028,26.9276
63,64,Romania,ROU,22125224,21919876,20335211,19328560,19659267,238391,0.0171,85.4454
64,65,Chile,CHL,11469828,15351799,17004162,19493184,19603733,756102,0.0057,26.3657
65,66,Kazakhstan,KAZ,14172710,15236253,16627837,19196465,19397998,2724900,0.0105,7.1852
